mfcc_1_mu,mfcc_1_sd,mfcc_2_mu,mfcc_2_sd,mfcc_3_mu,mfcc_3_sd,mfcc_4_mu,mfcc_4_sd,mfcc_5_mu,mfcc_5_sd,mfcc_6_mu,mfcc_6_sd,mfcc_7_mu,mfcc_7_sd,mfcc_8_mu,mfcc_8_sd,mfcc_9_mu,mfcc_9_sd,mfcc_10_mu,mfcc_10_sd,mfcc_11_mu,mfcc_11_sd,mfcc_12_mu,mfcc_12_sd,mfcc_13_mu,mfcc_13_sd,sex,Class
3.76166,1.552762137,-2.09293561,1.070762434,-1.111006634,1.061137203,-2.127793415,0.725855756,-0.07423856,0.479257224,0.707334463,0.579148477,0.441925999,0.411410455,-0.016829459,0.40325165,-0.15988022,0.587841819,-0.58685639,0.659175997,-0.651551585,0.357170238,-0.664097463,0.518942565,0.024381149,0.330707312,0,4
4.212906364,2.98039565,-3.805163636,1.783336661,-1.709595682,1.890639125,-1.964327932,1.191071267,-0.249847977,0.87448151,0.059735045,1.093178928,-0.263435636,0.647565091,-0.5888215,0.582451858,-0.088671593,0.500893101,-0.569933364,0.594851685,-0.791815659,0.694834962,-0.35808,0.480437828,0.044146316,0.35763501,0,7
2.215313824,1.309497583,-3.739173529,1.94395907,-1.146649412,1.114553213,-1.465513235,0.910141892,-1.449222647,0.626319539,-0.670110588,1.080852032,0.086940791,0.661631238,-1.135136824,0.487361735,-0.500556159,0.609080288,-0.807267882,0.600978151,-0.629788318,0.537759629,-0.137909588,0.590786156,-0.412110809,0.415682048,1,1
0.038497737,1.900194355,-3.901947368,1.51177649,-0.591856316,1.032617175,-0.991158924,0.777515181,-0.246742868,0.749840937,-0.171855229,0.793934071,0.038119553,0.419835018,-0.295229316,0.651148704,-0.047629974,0.436963053,-0.281591421,0.616213241,0.035357416,0.445998374,-0.124052234,0.47173661,-0.257804,0.429384846,1,9
3.436608974,1.363629993,-1.96694359,0.523447752,-0.74000559,1.085620421,-2.558278718,1.389628587,-0.995466667,0.769446487,-0.077775579,0.506469837,-0.367438569,0.44496504,-1.091450256,0.494975618,0.007039436,0.276058912,-0.00797429,0.403175266,-0.708211026,0.545797866,-0.994714282,0.439234515,-0.460148359,0.327072858,0,4
1.700143646,2.646322165,-2.469560417,0.921223161,-0.395661667,1.547989041,-1.291630083,1.104081947,-1.348011917,1.142214089,-1.223671813,0.825403647,-0.167018313,0.859759367,-0.607561156,0.602310714,-0.561779069,0.501461658,-0.804051104,0.574511469,-0.311666934,0.664394352,-0.488994183,0.770149334,-0.556486583,0.556800572,1,3
1.646648372,2.729085254,-3.091383721,0.996662832,-0.228475349,1.638498639,-0.610518872,0.772508604,-0.817838088,0.666913965,-0.926107721,0.807319229,-0.475132977,0.599517321,-0.838135233,1.049029107,-0.399838821,0.692033078,-0.862225814,0.574112692,-0.276094581,0.447119537,-0.218204593,0.44177902,-0.422445116,0.349696415,1,2
-1.119702857,2.679412761,-3.216782857,1.19230984,-0.061619457,0.967913255,-0.947913486,1.164554641,-0.610986678,1.042038603,-0.354226983,0.744348937,0.149974211,0.560566613,0.106255686,0.709622701,0.071625429,0.439964111,-0.198173634,0.660834206,0.110821371,0.541025856,0.032533943,0.354748338,-0.15901264,0.637692774,1,0
-0.4776774,2.028319346,-3.8124575,1.755394638,-0.027174125,1.260959712,-0.2490496,1.220594018,0.397961925,1.037586616,-0.50634185,0.655881926,-0.038962428,0.629795687,-0.123377175,1.096399829,-0.035282225,0.518571825,-0.451490325,0.585177581,-0.219031875,0.585281729,-0.1870325,0.54053069,-0.240432543,0.520411884,1,5
2.389810652,2.712980994,-3.580528261,0.85847147,-0.845973652,0.896944428,-1.942921957,0.934608894,-1.20230113,0.59520461,-1.610988674,0.879208102,-0.170366522,0.70011677,0.167169848,0.432697638,-0.345507454,0.381556971,-0.687383072,0.558574939,-0.464237391,0.729287556,0.035528022,0.44144482,-0.602673065,0.973191277,1,3
4.595641515,2.330170698,-4.55810303,1.133263241,-3.405281758,1.927930984,-2.128165485,0.890339295,-0.256764424,0.738514868,-0.318774667,0.614832419,-0.545232891,0.593700664,-0.425079939,0.501471751,-0.972815603,0.664739964,-0.739229303,0.499082617,-0.648501061,0.49372896,0.265966179,0.433689513,-0.240668121,0.384061303,1,7
-0.033139792,3.33399962,-3.376995833,1.402305134,-1.021667146,1.857316977,-1.173911396,0.894777225,-0.006508583,0.835286965,-0.307165708,1.095374238,-0.610404958,0.896787913,0.045038563,0.752971891,-0.306056458,0.60027747,-0.160821196,0.60775546,0.202849858,0.392536053,0.105789667,0.470434684,-0.224273854,0.380390756,1,5
0.5943251,3.022834279,-1.350782975,1.034114999,0.2957195,1.700815828,-0.428811375,1.47791969,-0.6995012,0.913524057,-0.501868,0.54189579,-0.498144175,0.382086445,-0.722089403,0.66089446,0.3583796,0.475755105,-0.6589146,0.62946097,-0.3332006,0.867611903,-0.075161081,0.451618729,-0.1694466,0.366546694,0,2
1.148473636,1.592804393,-2.124706591,0.716452659,-0.540105798,1.001260434,-1.617162727,1.083090041,-0.25444925,0.570901252,-0.149475398,0.547151687,-0.245966,0.41931292,-0.477306273,0.393395838,-0.010838114,0.325352162,-0.14082463,0.20149742,-0.491205295,0.478316219,-0.279072411,0.346040588,-0.055331661,0.396765789,0,4
1.634565733,3.448132107,-3.300248889,1.048790095,-0.320982889,1.768499104,-1.254622711,1.227760376,-0.837892378,1.207036555,-0.677455867,0.837594701,0.0925106,0.608445645,-0.114280289,0.635902642,-0.436402896,0.653412444,-0.2340806,0.709077701,0.275765662,0.633747077,-0.167131556,0.351376779,-0.100448044,0.596143471,1,6
3.172472667,2.829493657,-5.472878431,1.316396422,-0.978360588,2.244923974,-1.810895608,1.254274964,-0.436840706,1.074680859,-0.717534902,1.035401922,-1.116690353,0.865352848,-0.539695784,0.849826015,-0.665380686,0.4930567,-0.222081202,0.437827445,0.084925373,0.44855935,0.639484137,0.60518252,0.769848471,0.903661778,1,9
3.680122243,1.879159528,-3.358625135,2.760953054,-0.994361622,1.705679414,-1.550312622,1.363712176,-2.075941081,0.787827275,-0.836515676,1.185336326,-0.058827659,0.929864658,-1.022714243,0.544025726,-0.877305054,0.644031684,-0.552069459,0.61866804,-0.831721865,0.671680343,-0.094911049,0.365600403,-0.583389254,0.448167244,1,1
0.230715406,2.153743648,-3.994635625,2.964169804,0.496406563,1.894550135,-0.97651875,1.055500263,0.728359094,0.97392126,-0.029458406,0.599241257,0.002488941,0.399688701,0.119899713,0.797323477,0.412613569,0.511428123,0.116623188,0.633333296,-0.207474063,0.532547466,0.223140031,0.503195636,0.055777588,0.437356549,0,5
3.085356486,2.286632263,-4.819335135,1.131199667,-2.915730459,1.885458476,-2.137012703,0.887684246,-0.613581108,0.749246625,-0.227887946,1.03211713,-0.601435459,0.686047126,-0.104442378,0.531678365,-0.565697081,0.537427645,-0.646151081,0.384020923,0.208039892,0.390838784,0.143386541,0.546040083,-0.343906243,0.475558693,1,7
1.2434665,1.294250329,-3.555908,3.165851791,-0.1657473,0.831091921,-0.903389267,0.714111883,-0.205290167,0.798946857,-0.4190812,0.450819992,-0.211066113,0.803490517,-0.336099233,0.619409278,0.557598933,0.329559379,0.129913233,0.379488948,0.082304643,0.419044869,0.058207467,0.510578848,-0.00975293,0.424102183,0,0
3.968510435,3.212875695,2.088079565,1.914645472,1.007368652,1.306701813,0.629459174,1.18325878,-0.490993674,0.938051598,-1.044678826,1.009815398,-0.474706109,0.619611388,0.425827196,0.523670652,0.445570152,0.540394117,-0.004313772,0.52247156,-0.537352761,0.920235428,0.575412565,0.428891598,-0.488813441,0.690008064,0,6
1.29303625,2.231505001,-3.252915,1.097773685,-0.0281632,1.399720331,-0.89678185,1.37434281,-0.292627275,0.80005573,-0.671681,0.587866229,-0.120494025,0.382670926,-0.691114228,0.684044304,0.0185132,0.353138695,-0.2318813,0.440362907,-0.447421893,0.691667952,-0.486137868,0.615338073,-0.329416075,0.385244061,0,9
2.143861424,1.148962331,-4.418660606,1.593944032,-1.509555303,0.962600764,-1.515067633,0.813653285,-1.160304424,0.906580346,-0.680992515,1.160370755,0.089744805,0.505132277,-0.681111736,0.536420873,-0.552635848,0.468861575,-0.633284333,0.713721187,-0.221697455,0.407997556,-0.22879203,0.709789975,-0.264401179,0.408219727,1,1
1.794190938,2.504892656,-3.48850625,1.410065687,-1.05397375,2.281330509,-1.542864594,1.610298843,-0.642781,0.982834436,-0.48379765,0.645698948,-0.262722219,0.533641958,-0.630072063,0.847045673,-0.590908541,0.610077451,-0.46785575,0.752270989,-0.4864175,0.693513437,0.052555,0.497340069,-0.466433094,0.508245591,1,9
1.869326667,1.103150679,-3.591487179,1.61491431,-0.663813128,1.156755088,-1.358579205,0.930198954,-1.175917436,0.678315757,-0.732660256,0.970705856,-0.036981323,0.629416665,-1.17695,0.660185094,-0.507224413,0.576212607,-0.968943,0.437655291,-0.474899564,0.42118959,-0.253095795,0.670332089,-0.326913385,0.388118002,1,1
2.904376471,1.246676911,-3.547364118,2.183316765,-1.653297118,1.787577339,-1.857991765,1.112619595,-1.752415882,0.66824253,-0.147256971,1.098021968,0.019506371,0.796672861,-0.603095824,0.792103087,-0.903739971,0.732650527,-0.729568397,0.616688305,-0.299795471,0.585405419,-0.232035353,0.507709043,-0.475579676,0.449696611,1,1
2.119570625,2.348780697,-3.40266875,1.074778401,-0.895093125,1.439235949,-1.72330525,1.404165904,-0.343642031,0.724875877,-0.34109055,0.839883164,-0.377380219,0.503715473,-0.900710969,0.660384282,-0.317125391,0.332355642,-0.515075703,0.435249519,-0.226388063,0.456521856,-0.144966388,0.462550808,-0.406470694,0.347042072,1,9
2.693383824,2.000637816,-3.287232353,2.08231472,0.731211265,0.658697811,-0.669850412,0.704750896,-0.331989276,0.712636734,-0.803148882,0.64152168,-0.16956656,0.64581602,-0.559267412,0.660807202,0.399634738,0.345319771,-0.286928474,0.302878337,-0.436114647,0.519115394,-0.473858294,0.392925967,-0.120967562,0.281921845,0,9
1.856389721,3.207267157,-3.704509302,1.123798547,-0.820454442,1.191626164,-1.810674419,0.819305682,-1.606054372,1.061798826,-0.948029186,0.924573298,-0.20972584,1.00330361,0.13275123,0.774614614,-0.645020709,0.546072907,-0.634190628,0.56068134,0.154945535,0.640754629,-0.287667207,0.596889544,0.055039395,0.645072069,1,3
0.476478158,3.028161414,-3.689176316,1.91936424,0.489829737,1.573473069,-0.369902576,1.428248093,-0.360369211,1.013099503,-0.9208697,0.928933528,-0.170526237,0.688649389,-0.592248342,0.771596927,-0.015175868,0.503933353,0.145806905,0.353708251,0.008430526,1.118160579,0.160863605,0.465112352,-0.022550413,0.418029176,0,6
2.769675,1.226025754,-3.211797368,1.199142788,0.606549474,0.884808902,-0.748659597,0.883370455,-0.409465474,0.793348337,-0.869086816,0.639860056,-0.240926921,0.508963365,-0.697795289,0.799702179,-0.042404013,0.35391023,-0.517594816,0.357882103,-0.094789521,0.630064067,-0.223886805,0.442232151,-0.178725053,0.33635572,0,9
-1.100074841,2.291365863,-1.989282045,0.820531387,0.794461182,1.14895932,0.102615295,0.687030479,-0.316601355,0.733469065,-0.835050227,0.724860073,-0.512522795,0.428615807,-1.125685352,0.63598367,-0.339358682,0.752183938,-0.434507295,0.481532964,0.436668102,0.317544374,0.352510091,0.330812233,-0.262517977,0.319077884,1,2
1.337919278,3.215000398,-2.302713889,1.164498528,-0.061261944,1.987754509,-0.362965528,1.017822687,-0.652847778,0.75389992,-0.764482544,0.856101124,-0.714996933,0.433061775,-0.904014003,0.784122265,-0.138897806,0.369028374,-0.894003944,0.711633767,-0.897520611,1.061492729,-0.423958633,0.705240204,-0.278137778,0.284521897,0,2
5.400542143,1.680041889,-4.044794286,2.033757125,-0.290501714,1.502998526,-1.628415857,1.159908436,-0.666992286,1.082405323,-0.701768657,0.379433419,0.093059229,0.49762973,-0.7089012,0.590399469,0.036700846,0.350977162,-0.228298914,0.380461556,-0.532916234,0.630786142,-0.869962171,0.809334611,-0.034187114,0.346416409,0,9
4.814703878,2.925489372,-3.208231683,1.071137497,-2.168891951,1.588541896,-1.832890976,0.957780238,-0.312003527,0.672152927,-0.049615712,0.676329733,-0.855531976,0.874003859,-0.729762732,0.685019755,-0.714367512,0.684267213,-1.049404366,0.618504004,-0.376053378,0.534325049,-0.235918151,0.445966458,-0.285888049,0.55494545,1,4
1.922969091,1.255905647,-3.383327273,1.038800714,0.312213473,1.568735581,-1.225301091,0.710963599,-1.831156382,0.997268098,-1.294392909,0.466171888,-0.543113764,0.644268175,-0.723519891,0.535204772,-0.1890815,0.367396394,-0.521467582,0.457429595,-0.271436504,0.356160969,-0.374961656,0.398073895,-0.421498564,0.392031366,1,8
1.357969075,1.35048504,-3.50349,0.46593869,-1.4852697,1.214991009,-1.988768025,1.070950405,-0.20162315,0.624660687,-0.3035732,0.577782587,-0.449991075,0.441098618,-0.436668035,0.549540495,-0.546926475,0.326762886,-0.68403175,0.33953257,-0.195929725,0.395160513,-0.19520882,0.348900177,-0.5011223,0.298408133,1,4
1.324238222,2.536866147,-4.668420444,2.136957328,-0.498515111,1.664440373,-1.43907192,1.420574032,-0.150237911,1.204489942,-0.659272511,1.046853811,-0.534798022,0.960446293,-0.1654302,0.654732398,-0.042847544,0.468212657,-0.294409489,0.733199806,-0.174877422,0.495108664,0.171733009,0.311179385,-0.009333222,0.651975242,1,0
0.720036,2.4266646,-3.5050475,2.184925496,0.770042325,1.546089701,-0.77073,1.488444873,-0.099882125,1.047095881,-0.637750375,0.926769111,-0.294186675,0.797247636,-0.23314805,0.764893448,0.04457943,0.582826097,0.396776275,0.369350229,-0.1083085,1.05722856,0.349302825,0.49768117,0.014909275,0.400708547,0,6
0.720569136,1.609069481,-2.435204091,0.599636946,-1.040821773,1.283154604,-2.034178932,1.49730601,-0.02697225,0.44809386,0.228773198,0.559330117,-0.349837448,0.408867271,-0.952378795,0.371287408,-0.157248909,0.30203929,-0.363217727,0.299458266,-0.605690597,0.303804189,-0.07565923,0.404232345,-0.2345479,0.280895131,1,4
1.31021381,3.828031408,-3.283167302,1.090799979,-0.849299952,1.776279097,-1.241008825,1.109132056,-1.008391524,1.151202859,-0.922080524,1.039950861,-0.258833603,0.991633224,0.023841168,0.456905145,-0.323228111,0.64536011,-0.49912063,0.667398153,-0.208456871,0.620920852,0.143034565,0.565741438,-0.34257463,0.928877909,1,3
3.437882955,2.998857066,-3.428220455,1.532334091,-1.120054773,2.025564832,-1.664552727,1.213560239,-0.131890627,0.690458881,-0.355090795,0.893771087,-0.278869977,0.567613515,-0.334258909,0.553246265,0.010443091,0.478210624,-0.379390795,0.442425073,-0.755170864,0.592385833,-0.370426955,0.448291272,0.1158585,0.397078873,0,7
2.725295613,1.905243719,-3.675245161,0.736861355,-2.425200323,1.729227823,-2.220714323,1.087909278,-0.597399645,0.677433473,-0.739962806,0.782253068,-0.727551161,0.51306879,-0.695273516,0.559191069,-0.346728935,0.390069849,-0.820113871,0.459181457,-0.349360903,0.334397778,0.327906548,0.717163802,0.126453258,0.528303214,1,7
0.309494643,3.505361654,-3.315580691,3.106873658,0.695693036,1.282220718,-1.260897143,1.856423634,-0.223774836,1.271736535,-0.251742679,0.673375155,0.239419975,0.596300169,-0.432180036,0.83836264,0.054193145,0.532311911,0.011833018,0.464785585,0.249311877,0.77092596,-0.096181571,0.697788542,-0.039112379,0.366270604,0,6
1.400997895,3.378035992,-1.978956842,1.496422559,0.581678184,1.408596529,-0.455123421,1.000885348,-0.235952,0.608077208,0.046527289,0.493567106,-0.0122405,0.674160209,0.262486868,0.709506057,0.041947789,0.632702078,-0.230961842,0.45520968,-0.599517211,0.418030523,0.214222292,0.426046182,-0.053569632,0.314500141,0,2
0.942431659,2.401126981,-2.793280488,0.998655399,0.691911098,1.174803009,-0.952808049,1.277693988,-1.099854317,1.005484711,-0.490549217,0.574061302,-0.418116366,0.685151359,-1.134436829,1.023660217,-0.642033732,0.93427992,-0.861162976,0.759047283,-0.314992612,0.350702938,-0.396285293,0.540794622,-0.550325544,0.61676735,1,2
1.160169778,0.977683255,-3.718742222,0.529443603,-0.453717889,0.954001393,-1.280939022,0.749714713,-1.130862578,0.494316647,-0.806677711,0.279582481,-0.275041967,0.463836376,-0.887085289,0.671827943,-0.735392067,0.477531923,-0.649973778,0.280959566,-0.232234111,0.342089621,-0.5903698,0.366662822,-0.118906844,0.448711122,1,8
2.134609535,2.861105278,-2.102127674,0.638329318,0.382523953,0.938214249,-0.752495814,1.111807701,-0.843349512,1.086259409,-0.350127279,0.775240753,-0.683986767,0.749026754,-0.386254467,0.473112016,0.691874116,0.511480504,-0.085805247,0.331088526,-0.407341326,0.481263587,-0.329354647,0.456419489,-0.035020305,0.303433678,0,3
3.834002889,1.242066849,-2.901981111,1.63838854,-0.048287778,2.359550133,-1.568339333,0.619439381,-1.773007089,1.073138431,-1.705408222,0.51997927,-0.760874533,0.626412531,-0.901187378,0.495777805,-0.476611422,0.530380743,-0.960176889,0.412847658,-0.694228956,0.391149402,-0.416225782,0.360195108,-0.413528889,0.468313668,1,8
3.142967297,2.767495098,-2.343274919,1.190059948,0.085512,0.908632218,-0.746698108,0.961308861,-0.972770811,0.968655111,-0.129951314,0.422537886,-0.507493162,0.866021061,0.161272865,0.360761955,0.691696019,0.483492543,0.19728588,0.364073781,-0.56987527,0.533190838,0.147047246,0.335279316,-0.028781724,0.348053643,0,3
1.890444848,2.303475349,-2.252930485,1.782046906,0.395623333,0.775339949,-0.921153091,0.869491685,-0.568036697,1.092275531,-0.765733636,0.779311984,-0.644645064,0.808807678,-0.578187152,0.637424924,0.570851485,0.270339095,-0.052097294,0.339285124,-0.260865167,0.427815119,-0.282329576,0.508777356,-0.088427188,0.33600689,0,0
3.168182681,1.339348614,-5.302982979,1.221838244,-1.117370606,1.589428048,-2.280691489,0.490373912,-1.638329574,1.087637487,-1.20475883,0.713664348,-0.097170511,0.724314924,0.083037732,0.494120823,-0.463106319,0.43269558,-0.309920006,0.435717861,-0.21646667,0.478374218,-0.409996755,0.398928303,-0.129419828,0.468276763,1,8
2.36599225,1.316517031,-3.9747525,2.419924282,-0.36076025,1.258316722,-1.800248675,1.50555702,-0.295776445,0.937113497,-0.264521225,0.610696275,0.326704825,0.638744232,-0.59864255,0.603996403,-0.001120525,0.445103836,-0.154624475,0.421307585,-0.1848488,0.560595283,-0.36862715,0.527016829,-0.166588075,0.303115019,0,9
2.427430323,1.76448737,-3.901765484,1.97853816,-1.604914548,1.189247257,-1.762391613,1.240740684,-1.417886129,1.058640179,-0.747500645,1.133031075,0.007004645,0.750136452,-0.414792826,0.855610194,-0.912693903,0.80072312,-0.717166774,0.613586654,-0.205966548,0.462314231,-0.193035194,0.487657368,-0.117770597,0.408544138,1,1
2.261799778,1.681688431,-1.449489194,1.55594094,-0.707665833,1.907279551,-1.510484444,1.102536177,-1.242547778,0.839268684,-1.205867556,0.572537976,-0.062051222,0.519279624,-0.197336389,0.897643214,0.076213722,0.383409459,-0.385511417,0.762783283,-0.714620753,0.719427074,-0.42301475,0.525073865,-0.091028861,0.503117504,0,1
3.76162073,2.166350836,-3.477497297,0.782390754,-2.722847027,1.799008978,-2.05528973,1.045698905,-0.050847,0.636216714,0.192513838,0.509088892,-0.901389189,0.326456936,-0.949066216,0.360063197,-0.375398297,0.356409643,-0.838335946,0.26421463,-0.728340216,0.280934748,0.056808727,0.380425624,-0.675590865,0.311629539,1,4
3.209357974,1.666583386,-3.177712821,0.871854362,-1.628672769,1.30565039,-2.771256436,1.497642441,-0.521582962,0.507092115,-0.095355051,0.653182594,-0.459339821,0.26347215,-1.079986513,0.459500437,-0.434734564,0.382820221,-0.480434513,0.245213592,-0.777842769,0.508301123,-0.442387821,0.466092038,-0.570714359,0.304553773,1,4
1.615604719,2.213095835,-4.806078125,1.610629456,-0.195519188,0.90853381,-0.660195313,1.447437742,-1.060134111,0.951293002,-0.898155719,0.873422506,-0.044265078,0.498395633,-0.187778625,0.628626499,-0.201482356,0.529227362,-0.374157281,0.619276039,0.169598334,0.269004423,0.189183734,0.321084456,0.334126813,0.655662742,1,0
2.371477692,1.615390759,-4.037776923,2.536517729,0.597078846,1.48761519,-1.344796154,1.132515997,0.023737923,0.994334148,-0.277477808,0.720524758,-0.183099154,0.739983844,-0.979931538,1.070174568,-0.131206654,0.478228341,-0.491414231,0.631533967,-0.5703295,0.678882765,-0.560072923,0.495668219,-0.344797346,0.443539172,0,5
0.691976667,1.415059557,-4.318512222,2.925601439,-0.313100185,1.006710026,-0.241733889,1.146111201,-0.261264074,1.1220857,-0.636935148,0.806556873,0.159061852,0.610952341,-0.354792593,1.205052931,-0.301137252,0.499969656,-0.631620174,0.635064995,0.181747778,0.420192795,-0.22702763,0.470548059,-0.18117657,0.402010657,1,5
4.202863404,1.217530395,-2.341725532,0.238823891,0.647151511,0.552693868,-0.556657915,0.693292473,-1.174500638,0.564710243,-1.383405489,0.738329848,-0.489114553,0.39232572,-1.104470043,0.783984677,0.137742455,0.447485454,-0.763200638,0.369728848,-0.128419347,0.289286522,-0.334321489,0.466044137,-0.298365957,0.296743971,0,8
1.138933,0.754618468,-3.195089444,3.473360528,-0.509797056,1.565553905,-0.816949444,0.869860353,-0.219866278,1.249288675,-0.769147778,0.872828172,-0.335037722,0.453363907,-0.415906111,1.308832968,-0.30745655,0.424457984,-0.802406333,0.617711407,-0.028287228,0.321017356,0.115046056,0.292340835,0.132060483,0.306559594,1,5
